ImageID,Source,LabelName,Confidence
img_0000002450,,Kill,1
img_0000003361,,Kill,1
img_0000003438,,Kill,1
img_0000004760,,Kill,1
img_0000004960,,Kill,1
img_0000005803,,Kill,1
img_0000005817,,Kill,1
img_0000006076,,Kill,1
img_0000006679,,Kill,1
img_0000007006,,Kill,1
img_0000008441,,Kill,1
img_0000009000,,Kill,1
img_0000009666,,Kill,1
img_0000011470,,Kill,1
img_0000011826,,Kill,1
img_0000011916,,Kill,1
img_0000014211,,Kill,1
img_0000014766,,Kill,1
img_0000015257,,Kill,1
img_0000015534,,Kill,1
img_0000015676,,Kill,1
img_0000015818,,Kill,1
img_0000016513,,Kill,1
img_0000016804,,Kill,1
img_0000017474,,Kill,1
img_0000017719,,Kill,1
img_0000017773,,Kill,1
img_0000020315,,Kill,1
img_0000020429,,Kill,1
img_0000020795,,Kill,1
img_0000021046,,Kill,1
img_0000021505,,Kill,1
img_0000022164,,Kill,1
img_0000022244,,Kill,1
img_0000022960,,Kill,1
img_0000024787,,Kill,1
img_0000025259,,Kill,1
img_0000025408,,Kill,1
img_0000025997,,Kill,1
img_0000026389,,Kill,1
img_0000026564,,Kill,1
img_0000026862,,Kill,1
img_0000029190,,Kill,1
img_0000030163,,Kill,1
img_0000031675,,Kill,1
img_0000032174,,Kill,1
img_0000032320,,Kill,1
img_0000034585,,Kill,1
img_0000035128,,Kill,1
img_0000035329,,Kill,1
img_0000036207,,Kill,1
img_0000036366,,Kill,1
img_0000036716,,Kill,1
img_0000037560,,Kill,1
img_0000038512,,Kill,1
img_0000039106,,Kill,1
img_0000039939,,Kill,1
img_0000039988,,Kill,1
img_0000040201,,Kill,1
img_0000040673,,Kill,1
img_0000041683,,Kill,1
img_0000043340,,Kill,1
