ImageID,Source,LabelName,Confidence
img_0000000267,,kill,1
img_0000000386,,kill,1
img_0000000439,,kill,1
img_0000000631,,kill,1
img_0000000685,,kill,1
img_0000000873,,kill,1
img_0000000947,,kill,1
img_0000001044,,kill,1
img_0000001108,,kill,1
img_0000001163,,kill,1
img_0000001226,,kill,1
img_0000001262,,kill,1
img_0000001324,,kill,1
img_0000001424,,kill,1
img_0000001550,,kill,1
img_0000001679,,kill,1
img_0000001803,,kill,1
img_0000001835,,kill,1
img_0000001855,,kill,1
img_0000001899,,kill,1
img_0000001928,,kill,1
img_0000002066,,kill,1
img_0000002196,,kill,1
img_0000002485,,kill,1
img_0000002600,,kill,1
